date,time,date_time,roadway,intersection,report_number,address,latitude,longitude
12/22/18,1643,12/22/18 16:43,TARRYTOWN RD,,2018012143,"TARRYTOWN RD, Greenburgh, NY",41.038218,-73.782072
11/6/18,1645,11/6/18 16:45,TARRYTOWN RD,,2018010602,"TARRYTOWN RD, Greenburgh, NY",41.038218,-73.782072
8/22/18,918,8/22/18 9:18,ARDSLEY RD,SCARSDALE RD,2018008034,"ARDSLEY RD AND SCARSDALE RD, Greenburgh, NY",40.9889712,-73.8106127
8/24/18,1626,8/24/18 16:26,WHITE PLAINS RD,,2018008120,"WHITE PLAINS RD, Greenburgh, NY",41.0594236,-73.8293423
10/5/18,2000,10/5/18 20:00,SPRAIN VALLEY RD,,2018009484,"SPRAIN VALLEY RD, Greenburgh, NY",40.993408,-73.834602
10/18/18,1705,10/18/18 17:05,65 S CENTRAL AVE,,2018009920,"65 S CENTRAL AVE, Greenburgh, NY",41.0778975102041,-73.8583953061224
11/6/18,825,11/6/18 8:25,BILTOM RD,,2018010576,"BILTOM RD, Greenburgh, NY",41.043224,-73.833
11/7/18,1333,11/7/18 13:33,SAW MILL RIVER RD,,2018010640,"SAW MILL RIVER RD, Greenburgh, NY",41.0115345,-73.8483435
11/25/18,1356,11/25/18 13:56,DUELL RD,,2018011257,"DUELL RD, Greenburgh, NY",41.046157,-73.779368
9/6/18,1745,9/6/18 17:45,S. CENTRAL AVE,,2018008549,"S. CENTRAL AVE, Greenburgh, NY",41.015,-73.803182
9/26/18,830,9/26/18 8:30,DURHAM ROAD,,2018009151,"DURHAM ROAD, Greenburgh, NY",41.04629,-73.817847
10/7/18,1535,10/7/18 15:35,17 N CENTRAL AVE,,2018009546,"17 N CENTRAL AVE, Greenburgh, NY",41.077663877551,-73.8584423265306
9/12/18,1715,9/12/18 17:15,WHITE PLAINS RD,,2018008702,"WHITE PLAINS RD, Greenburgh, NY",41.0594236,-73.8293423
11/21/18,1800,11/21/18 18:00,TARRYTOWN RD,,2018011144,"TARRYTOWN RD, Greenburgh, NY",41.038218,-73.782072
12/26/18,925,12/26/18 9:25,TARRYTOWN RD,,2018012243,"TARRYTOWN RD, Greenburgh, NY",41.038218,-73.782072
1/10/18,1618,1/10/18 16:18,KNOLLWOOD RD,,2018000339,"KNOLLWOOD RD, Greenburgh, NY",41.0456548,-73.8047319
1/17/18,1555,1/17/18 15:55,182 SAW MILL RIVER RD,,2018000587,"182 SAW MILL RIVER RD, Greenburgh, NY",41.0703441935484,-73.8167020241935
1/31/18,1912,1/31/18 19:12,RIDGE RD,,2018001092,"RIDGE RD, Greenburgh, NY",41.007754,-73.848869
2/12/18,1220,2/12/18 12:20,TARRYTOWN RD,,2018001439,"TARRYTOWN RD, Greenburgh, NY",41.038218,-73.782072
3/2/18,839,3/2/18 8:39,KNOLLWOOD RD,,2018002063,"KNOLLWOOD RD, Greenburgh, NY",41.0456548,-73.8047319
4/4/18,1651,4/4/18 16:51,ARDSLEY RD,,2018003228,"ARDSLEY RD, Greenburgh, NY",40.9904958,-73.8120405
4/9/18,1120,4/9/18 11:20,KNOLLWOOD RD,I-287,2018003372,"KNOLLWOOD RD AND I-287, Greenburgh, NY",41.058608,-73.805752
4/19/18,1540,4/19/18 15:40,TARRYTOWN RD,,2018003733,"TARRYTOWN RD, Greenburgh, NY",41.038218,-73.782072
5/1/18,1005,5/1/18 10:05,S CENTRAL AV,,2018004128,"S CENTRAL AV, Greenburgh, NY",41.015,-73.803182
5/15/18,2021,5/15/18 20:21,S CENTRAL AV,,2018004713,"S CENTRAL AV, Greenburgh, NY",41.015,-73.803182
5/23/18,1345,5/23/18 13:45,SAW MILL RIVER RD,,2018004973,"SAW MILL RIVER RD, Greenburgh, NY",41.0115345,-73.8483435
5/25/18,1914,5/25/18 19:14,150 CLEARBROOK RD,,2018005063,"150 CLEARBROOK RD, Greenburgh, NY",41.072826,-73.814058
6/8/18,1300,6/8/18 13:00,S CENTRAL AV,,2018005539,"S CENTRAL AV, Greenburgh, NY",41.015,-73.803182
6/19/18,2004,6/19/18 20:04,KNOLLWOOD RD,,2018005935,"KNOLLWOOD RD, Greenburgh, NY",41.0456548,-73.8047319
6/26/18,1533,6/26/18 15:33,SAW MILL RIVER RD,,2018006175,"SAW MILL RIVER RD, Greenburgh, NY",41.0115345,-73.8483435
7/25/18,831,7/25/18 8:31,E HARTSDALE AV,,2018007145,"E HARTSDALE AV, Greenburgh, NY",41.0114855,-73.7961129
10/4/18,1225,10/4/18 12:25,SAW MILL RIVER RD,,2018009429,"SAW MILL RIVER RD, Greenburgh, NY",41.0115345,-73.8483435
8/30/18,614,8/30/18 6:14,E HARTSDALE AV,,2018008298,"E HARTSDALE AV, Greenburgh, NY",41.0114855,-73.7961129
11/25/18,1305,11/25/18 13:05,LAWRENCE DR,,2018011256,"LAWRENCE DR, Greenburgh, NY",41.063364,-73.779156
11/27/18,1846,11/27/18 18:46,MT JOY AV,,2018011352,"MT JOY AV, Greenburgh, NY",40.996192,-73.815986
9/26/18,1213,9/26/18 12:13,S CENTRAL AVE,,2018009166,"S CENTRAL AVE, Greenburgh, NY",41.015,-73.803182
11/11/18,1318,11/11/18 13:18,S.CENTRAL AV,,2018010778,"S.CENTRAL AV, Greenburgh, NY",41.015,-73.803182
12/26/18,1600,12/26/18 16:00,CENTRAL AVE,,2018012248,"CENTRAL AVE, Greenburgh, NY",41.0779345,-73.8607943
8/30/18,752,8/30/18 7:52,TARRYTOWN RD,HILLSIDE AVE,2018008300,"TARRYTOWN RD AND HILLSIDE AVE, Greenburgh, NY",41.0495361,-73.8099285
8/21/18,1145,8/21/18 11:45,W HARTSDALE AVE,,2018008008,"W HARTSDALE AVE, Greenburgh, NY",41.026784,-73.807664
9/16/18,1218,9/16/18 12:18,S CENTRAL AVE,,2018008825,"S CENTRAL AVE, Greenburgh, NY",41.015,-73.803182
12/21/18,1519,12/21/18 15:19,668 S CENTRAL AVE,,2018012105,"668 S CENTRAL AVE, Greenburgh, NY",41.015,-73.803182
7/3/18,1330,7/3/18 13:30,ARDSLEY RD,,2018006439,"ARDSLEY RD, Greenburgh, NY",40.9904958,-73.8120405
1/2/18,1738,1/2/18 17:38,TARRYTOWN RD,208 TARRYTOWN RD,2018000061,"TARRYTOWN RD AND 208 TARRYTOWN RD, Greenburgh, NY",41.0397203,-73.7853708
