date,time,date_time,roadway,intersection,report_number
7/3/18,1720,7/3/18 17:20,CLAYTON RD,MOORLAND DR,2018006455
7/5/18,2355,7/5/18 23:55,PAYNE ST,N LAWN AV,2018006488
7/5/18,2002,7/5/18 20:02,47 HARVARD DR,YALE AV,2018006526
7/9/18,820,7/9/18 8:20,DOBBS FERRY RD,,2018006620
7/10/18,1500,7/10/18 15:00,DOBBS FERRY RD,W HARTSDALE RD,2018006684
7/10/18,2045,7/10/18 20:45,SAW MILL RIVER RD,,2018006698
7/13/18,1530,7/13/18 15:30,E HARTSDALE AV,ROCKLEDGE RD,2018006800
7/15/18,5,7/15/18 5:05,OLD FARM LN,,2018006846
7/20/18,708,7/20/18 7:08,KNOLLWOOD RD,OLD TARRYTOWN RD,2018007000
7/21/18,1057,7/21/18 10:57,SAW MILL RIVER RD,,2018007031
7/22/18,1139,7/22/18 11:39,PALISADE AV,,2018007056
7/24/18,1519,7/24/18 15:19,GRASSLANDS RD,,2018007121
7/25/18,946,7/25/18 9:46,VIRGINIA RD,HILLSIDE AV,2018007146
8/13/18,413,8/13/18 4:13,HIGHPOINT DR,,2018007755
9/8/18,1205,9/8/18 12:05,TAXTER RD,RT 119,2018008613
9/8/18,1205,9/8/18 12:05,100 HIGHPOINT DR,REAR PARKING LOT,2018008614
9/26/18,1800,9/26/18 18:00,KNOLLWOOD RD,,2018009177
10/20/18,245,10/20/18 2:45,KNOLLWOOD RD,GRASSLANDS RD,2018009987
11/9/18,1855,11/9/18 18:55,TARRYTOWN RD,MANHATTAN AV,2018010737
11/17/18,928,11/17/18 9:28,TARRYTOWN RD,AQUEDUCT RD,2018010977
11/22/18,2226,11/22/18 22:26,SARATOGA RD,,2018011186
12/8/18,315,12/8/18 3:15,TARRYTOWN RD,,2018011663
1/2/18,1350,1/2/18 13:50,S CENTRAL AV,CLIFTON RD,2018000044
1/17/18,1430,1/17/18 14:30,ARDSLEY RD,SPRAIN RD,2018000582
1/30/18,1800,1/30/18 18:00,SAW MILL RIVER RD,N PAYNE ST,2018001058
2/4/18,1126,2/4/18 11:26,S CENTRAL AV,ARDSLEY RD,2018001199
2/10/18,1406,2/10/18 14:06,S CENTRAL AV,,2018001399
3/9/18,1405,3/9/18 14:05,N CENTRAL AV,,2018002339
3/23/18,1030,3/23/18 10:30,S CENTRAL AV,,2018002840
4/16/18,1807,4/16/18 18:07,WHITE PLAINS RD,9,2018003628
4/26/18,1236,4/26/18 12:36,KNOLLWOOD RD,,2018003976
4/27/18,1745,4/27/18 17:45,KNOLLWOOD RD,,2018004017
5/6/18,1519,5/6/18 15:19,S CENTRAL AV,,2018004339
5/12/18,1050,5/12/18 10:50,SAW MILL RIVER RD,SECOR RD,2018004570
5/16/18,1017,5/16/18 10:17,KNOLLWOOD RD,,2018004725
5/16/18,1634,5/16/18 16:34,EXECUTIVE BLVD,WESTCHESTER PLZ,2018004735
6/7/18,1726,6/7/18 17:26,TARRYTOWN RD,,2018005514
6/14/18,1933,6/14/18 19:33,KNOLLWOOD RD,STADIUM RD,2018005759
6/30/18,702,6/30/18 7:02,TARRYTOWN RD,,2018006315
7/7/18,30,7/7/18 3:30,KNOLLWOOD RD,PAYNE RD,2018006561
10/9/18,1749,10/9/18 17:49,320 SAW MILL,RIVER RD,2018009610
10/12/18,1639,10/12/18 16:39,188 TARRYTOWN RD,,2018009716
12/14/18,1120,12/14/18 11:20,TARRYTOWN RD,DOBBS FERRY RD,2018011866
6/4/18,1728,6/4/18 17:28,ARDSLEY RD,,2018005402
12/15/18,1048,12/15/18 10:48,SPRAIN VALLEY RD,,2018011900
7/7/18,30,7/7/18 3:30,KNOLLWOOD RD,PAYNE RD.,20186561
12/23/18,1341,12/23/18 13:41,KNOLLWOOD RD,TARRYTOWN RD,2018012165
10/17/18,2010,10/17/18 20:10,CLEARBROOK RD,,2018009887
8/14/18,1630,8/14/18 16:30,DOBBS FERRY RD,HARTSDALE AVE,2018007808
10/5/18,1110,10/5/18 11:10,SAW MILL RIVER RD,,2018009460
10/5/18,1436,10/5/18 14:36,TARRYTOWN RD,,2018009472
10/8/18,1318,10/8/18 13:18,DOBBS FERRY RD,SPRAIN BROOK PRKW,2018009567
